"","s","pct","MSE"
"1",1,0.5,13.0483703480159
"2",2,0.5,16.1798525452484
"3",3,0.5,16.1435656799171
"4",4,0.5,18.0172538243176
"5",5,0.5,18.6503395946047
"6",6,0.5,21.2972708456147
"7",1,0.8,10.7864397965651
"8",2,0.8,12.2416365946505
"9",3,0.8,14.038975632196
"10",4,0.8,14.9388568118922
"11",5,0.8,15.7555046463592
"12",6,0.8,17.3671671597306
