"","n","gamma","s","ntree","time","MSE"
"107",10000,0.6,13,50,1.21970357894897,234.624111691094
"108",10000,0.6,15,50,1.26356911659241,235.512022613697
"109",10000,0.6,17,50,1.2924409866333,235.225348007109
"110",10000,0.6,19,50,1.33303565979004,234.717537656219
"111",10000,0.6,1,100,1.91327290534973,282.115416909538
"112",10000,0.6,3,100,2.02088866233826,253.242818133836
"113",10000,0.6,5,100,2.04361591339111,245.778629053746
"114",10000,0.6,7,100,2.08258061408997,236.198026917618
"115",10000,0.6,9,100,2.1201639175415,237.879810474053
"116",10000,0.6,11,100,2.16393594741821,236.862900243062
"117",10000,0.6,13,100,2.20872373580933,234.946694399772
"118",10000,0.6,15,100,2.24723501205444,235.640165931404
"119",10000,0.6,17,100,2.31627192497253,233.983996109046
"120",10000,0.6,19,100,2.32753024101257,233.042695280269
"121",10000,0.6,1,150,2.85690178871155,278.555509503069
"122",10000,0.6,3,150,2.98334984779358,254.221261069533
"123",10000,0.6,5,150,3.09100656509399,248.879961468269
"124",10000,0.6,7,150,3.08150777816772,238.991599202741
"125",10000,0.6,9,150,3.10826268196106,240.773200153497
"126",10000,0.6,11,150,3.16664776802063,236.21938762898
"127",10000,0.6,13,150,3.20153956413269,236.331041223829
"128",10000,0.6,15,150,3.25238876342773,236.473409372439
"129",10000,0.6,17,150,3.30582842826843,234.787901612262
"130",10000,0.6,19,150,3.3454815864563,234.172157737385
"131",10000,0.6,1,200,3.80412058830261,280.207791110493
"132",10000,0.6,3,200,3.94778561592102,254.251086649698
"133",10000,0.6,5,200,4.03360180854797,246.915238955314
"134",10000,0.6,7,200,4.06262159347534,237.671360477876
"135",10000,0.6,9,200,4.11884860992432,238.324910646448
"136",10000,0.6,11,200,4.23085460662842,236.065350733305
"137",10000,0.6,13,200,4.2297290802002,236.321239644446
"138",10000,0.6,15,200,4.27566323280334,234.978417840416
"139",10000,0.6,17,200,4.33194222450256,235.652105759976
"140",10000,0.6,19,200,4.38003878593445,234.036342216328
"141",10000,0.6,1,250,4.76414160728455,285.142333325566
"142",10000,0.6,3,250,4.9195493221283,252.380666535714
