"","n","gamma","s","ntree","time","MSE"
"1",1000,0.5,1,100,0.941954374313354,1969.36551049893
"2",1000,0.5,4,100,1.16905832290649,1453.34741998839
"3",1000,0.5,7,100,1.21580624580383,1384.36395050489
"4",1000,0.5,10,100,1.34661054611206,1316.62566920488
"5",1000,0.5,13,100,1.58415842056274,1280.97204357397
"6",1000,0.5,16,100,1.53008532524109,1298.35150981841
"7",1000,0.5,19,100,1.96372485160828,1314.29900094765
"8",1000,0.5,22,100,2.01044940948486,1306.08756395061
"9",1000,0.6,1,100,1.08245420455933,1092.26559854541
"10",1000,0.6,4,100,1.42869663238525,556.977810360024
"11",1000,0.6,7,100,1.57912707328796,518.275814132252
"12",1000,0.6,10,100,1.76126217842102,509.106035852871
"13",1000,0.6,13,100,1.89774990081787,496.49441687049
"14",1000,0.6,16,100,1.96304845809937,496.633686944175
"15",1000,0.6,19,100,2.36092352867126,495.552993591812
"16",1000,0.7,1,100,1.59403991699219,276.208194847004
"17",1000,0.7,4,100,1.80441212654114,203.672310265972
"18",1000,0.7,7,100,2.08263325691223,187.916521177048
"19",1000,0.7,10,100,2.34859275817871,182.384626276879
"20",1000,0.7,13,100,2.31515097618103,178.219299680188
"21",1000,0.7,16,100,2.62412261962891,179.821520517915
"22",1000,0.7,19,100,3.03012824058533,178.779984170559
"23",1000,0.8,1,100,2.38683891296387,150.869473598884
"24",1000,0.8,4,100,3.32252359390259,79.5078656228143
"25",1000,0.8,7,100,3.51528358459473,78.5428793026085
"26",1000,0.8,10,100,4.62355446815491,78.4169977766659
"27",1000,0.8,13,100,5.10691404342651,78.9517191286681
"28",1000,0.8,16,100,4.72797250747681,79.9060725508272
"29",1000,0.9,1,100,5.43166732788086,55.4184693751821
"30",1000,0.9,4,100,7.52411150932312,52.1428964082571
"31",1000,0.9,7,100,8.73758697509766,49.1306264545029
"32",1000,0.9,10,100,10.0851314067841,49.3604044771375
"33",1000,0.9,13,100,11.009765625,50.0461445931
"34",1000,0.9,16,100,12.0663492679596,49.6983402397603
"35",1000,1,1,100,11.2125380039215,40.9880795666019
"36",1000,1,5,100,20.2284104824066,37.2280956655311
"37",1000,1,9,100,26.1807131767273,38.1261259608697
