"","yhat","se","yexp","diff","rf_result","real_y_rf"
"106",515.329145990029,0.285006827237735,512.631531325348,-2.69761466468174,521.592937893599,521.97773622304
"107",526.027657034918,0.362690658330554,527.03338460667,1.00572757175189,523.134207425431,522.847147071106
"108",523.279770154535,0.197667142184444,524.189994592609,0.910224438073328,519.387212943279,519.575861740939
"109",522.893543635731,0.265428501584193,522.921991095253,0.0284474595212032,523.406634973899,524.901735554878
"110",521.524342381357,0.275119537534771,520.752054926789,-0.772287454567163,526.9099155801,527.03338460667
"111",517.951885127973,0.209010630243096,518.465754679104,0.513869551130824,523.195696332135,524.189994592609
"113",525.00135177708,0.222103516911924,524.689585009671,-0.311766767408585,523.182560913742,522.921991095253
"114",518.953788957547,0.379912071159531,517.900395666766,-1.05339329078026,521.825897253236,522.253299175258
"117",513.017434946657,0.341295648991801,507.130921593474,-5.88651335318247,521.442261387012,522.9431627826
"118",522.812809939265,0.279737662167837,524.221966040554,1.409156101289,518.3634349824,516.31179263628
"119",517.398651800445,0.188513043511387,516.303667842962,-1.09498395748301,516.618674133237,516.303667842962
"120",520.794130436672,0.310676032831648,520.618198849015,-0.175931587657033,524.059250162366,524.845635924676
"128",521.029003962411,0.339974989472842,520.086243649868,-0.942760312543442,522.92930324386,524.36623581122
"129",515.74943181295,0.291196457996654,514.935923261312,-0.813508551637142,512.370917618636,510.427835612691
"131",522.889468219853,0.311768666809482,524.580264149791,1.69079592993785,518.463932137284,518.074914375895
"132",519.897449265088,0.308667004512015,519.428126545018,-0.469322720070068,517.425350703174,517.14595178544
"134",523.372313799799,0.287965970327376,525.551161905994,2.17884810619478,524.413538473643,524.830463227748
"136",521.975234861819,0.191307945819053,524.633703576775,2.6584687149558,522.954376893997,524.633703576775
"145",524.367004747837,0.240462260349765,524.475861082215,0.108856334377492,512.599407918542,511.107851559659
"148",524.048467945876,0.23066148542607,524.228450207748,0.17998226187251,521.249909847171,523.169725489467
"149",514.079350837446,0.271940236342352,510.814187816786,-3.26516302066091,530.328039437788,530.582477962401
"150",521.114231570787,0.292789829464146,523.639772673941,2.5255411031535,516.615476471166,516.70744820137
"153",520.917363508658,0.195064718027997,521.273927037227,0.35656352856904,527.822746353058,530.372365056058
"157",517.054635165077,0.228173197946575,516.001670847897,-1.05296431717977,519.114136580862,518.008629087478
"158",520.240353371125,0.161753616667829,520.482016585363,0.241663214238088,524.4146285786,524.228450207748
"160",522.589361484997,0.302002816794359,523.468518814306,0.879157329309123,523.17897707497,523.639772673941
"161",519.076533971987,0.353736345511416,520.462640775065,1.38610680307795,524.531396721819,524.862915934767
"162",522.549460920746,0.455794078136213,525.261741740327,2.71228081958122,521.193687689644,521.273927037227
"165",522.406022707487,0.272862794070601,523.928215397378,1.52219268989109,518.027385981127,519.164514496233
"172",527.257586685492,0.304635954763231,530.152398779994,2.89481209450196,516.363637725449,516.001670847897
"174",522.086891726857,0.211812110534426,522.430774125213,0.343882398356527,520.998921869385,521.37526368533
