"","gamma","pct","MSE"
"1",0.5,0.5,31.7021925217864
"2",0.6,0.5,25.0444032667894
"3",0.7,0.5,18.6081405968356
"4",0.8,0.5,16.1572278771187
"5",0.9,0.5,13.0483703480159
"6",1,0.5,13.0483703480159
"7",0.5,0.8,28.7097247564065
"8",0.6,0.8,22.0141017561225
"9",0.7,0.8,17.3689672336754
"10",0.8,0.8,14.038975632196
"11",0.9,0.8,10.7864397965651
"12",1,0.8,10.7864397965651
