"","n","gamma","s","ntree","time","MSE"
"116",10000,0.6,11,100,2.20195407867432,372.887155419641
"117",10000,0.6,13,100,2.18516545295715,367.653568532572
"118",10000,0.6,15,100,2.21864461898804,370.112049815733
"119",10000,0.6,17,100,2.2733537197113,369.602813764408
"120",10000,0.6,19,100,2.33415002822876,366.037789624829
"121",10000,0.6,1,150,2.86943292617798,443.981954205331
"122",10000,0.6,3,150,2.99258117675781,384.392546256719
"123",10000,0.6,5,150,3.03012442588806,381.552370976865
"124",10000,0.6,7,150,3.12294330596924,378.217252605386
"125",10000,0.6,9,150,3.17737174034119,372.219441373093
"126",10000,0.6,11,150,3.17266712188721,367.774050153898
"127",10000,0.6,13,150,3.21598601341248,367.74995070949
"128",10000,0.6,15,150,3.26132225990295,368.482994073116
"129",10000,0.6,17,150,3.29200124740601,366.163980017164
"130",10000,0.6,19,150,3.34285573959351,367.737522633756
"131",10000,0.6,1,200,3.83993229866028,402.350086061766
"132",10000,0.6,3,200,3.9597740650177,387.797684906094
"133",10000,0.6,5,200,4.01512498855591,379.893281164866
"134",10000,0.6,7,200,4.07321906089783,377.999208172087
"135",10000,0.6,9,200,4.12305660247803,373.187689293589
"136",10000,0.6,11,200,4.18878741264343,371.105012429661
"137",10000,0.6,13,200,4.23803071975708,369.463798600933
"138",10000,0.6,15,200,4.28739137649536,367.178532483382
"139",10000,0.6,17,200,4.3410542011261,369.039423454927
"140",10000,0.6,19,200,4.39050517082214,365.982573647885
"141",10000,0.6,1,250,4.79891753196716,420.273014317861
"142",10000,0.6,3,250,4.92867703437805,387.842118807979
"143",10000,0.6,5,250,4.99207329750061,378.635849449655
"144",10000,0.6,7,250,5.0727038860321,373.985165419987
"145",10000,0.6,9,250,5.12556457519531,371.687291864894
"146",10000,0.6,11,250,5.20322680473328,370.046262008598
"147",10000,0.6,13,250,5.32482671737671,368.854543452231
"148",10000,0.6,15,250,5.37529067993164,366.556614297567
"149",10000,0.6,17,250,5.40820832252502,365.944313657355
"150",10000,0.6,19,250,5.47998223304748,369.15087853055
"151",10000,0.6,1,300,5.73575582504272,420.756410001954
"152",10000,0.6,3,300,5.95800447463989,390.088211257175
"153",10000,0.6,5,300,6.04917588233948,378.282166026787
"154",10000,0.6,7,300,6.08040633201599,375.996440737478
"155",10000,0.6,9,300,6.13883481025696,369.121716708633
"156",10000,0.6,11,300,6.24032950401306,367.777564814278
"157",10000,0.6,13,300,6.32009682655334,368.604996468505
"158",10000,0.6,15,300,6.38698568344116,366.598086178919
"159",10000,0.6,17,300,6.53560929298401,367.120556125741
"160",10000,0.6,19,300,6.62462472915649,367.854126438345
"161",10000,0.6,1,350,6.68456377983093,437.005396469003
"162",10000,0.6,3,350,6.93606753349304,389.097027387193
"163",10000,0.6,5,350,7.02504558563232,384.55027283339
"164",10000,0.6,7,350,7.13299541473389,375.791465297518
"165",10000,0.6,9,350,7.23185353279114,370.676029410131
"166",10000,0.6,11,350,7.34571852684021,368.971653037229
"167",10000,0.6,13,350,7.45115833282471,367.955652860931
"168",10000,0.6,15,350,7.56768441200256,367.564326605352
"169",10000,0.6,17,350,7.69531455039978,367.638634465866
"170",10000,0.6,19,350,7.77070097923279,365.737006332944
"171",10000,0.6,1,400,7.67355446815491,427.216785747681
"172",10000,0.6,3,400,7.92827982902527,387.293346251199
"173",10000,0.6,5,400,8.0613028049469,378.786592677664
"174",10000,0.6,7,400,8.20346240997315,374.308026269726
"175",10000,0.6,9,400,8.28214707374573,370.049403994234
"176",10000,0.6,11,400,8.41936655044556,368.961849249917
"177",10000,0.6,13,400,8.58355689048767,367.63553561946
"178",10000,0.6,15,400,8.70363569259644,367.463900959441
"179",10000,0.6,17,400,8.76542301177978,368.815147085351
"180",10000,0.6,19,400,8.94047875404358,366.742850324948
"181",10000,0.6,1,450,8.58798499107361,430.886098342833
"182",10000,0.6,3,450,8.8718451499939,388.023198452216
"183",10000,0.6,5,450,9.04246621131897,378.210837760971
"184",10000,0.6,7,450,9.18063297271729,374.138758040809
"185",10000,0.6,9,450,9.31518330574036,372.556398902787
"186",10000,0.6,11,450,9.52727155685425,370.462350795788
"187",10000,0.6,13,450,9.62986164093018,369.286805531847
"188",10000,0.6,15,450,9.74531106948853,365.948957779293
"189",10000,0.6,17,450,9.90248937606811,368.348710342905
"190",10000,0.6,19,450,10.0683220386505,366.745884643721
"191",10000,0.6,1,500,9.55110940933228,419.070409610783
"192",10000,0.6,3,500,9.92727384567261,389.235486137331
"193",10000,0.6,5,500,10.123512840271,377.418530466486
"194",10000,0.6,7,500,10.2795023441315,374.867587856314
"195",10000,0.6,9,500,10.3769290924072,371.117231935313
"196",10000,0.6,11,500,10.546093416214,367.784792899436
"197",10000,0.6,13,500,10.7073436737061,367.522812761632
"198",10000,0.6,15,500,10.900678396225,367.52867580439
"199",10000,0.6,17,500,11.0852094650269,367.272809392657
"200",10000,0.6,19,500,11.2257032871246,365.619225281452
"201",10000,0.7,1,50,2.4531445980072,292.215956039008
"202",10000,0.7,3,50,2.8567554473877,236.450095745878
"203",10000,0.7,5,50,3.05326499938965,240.845424634019
"204",10000,0.7,7,50,3.22189455032349,239.22185202095
"205",10000,0.7,9,50,3.42087993621826,232.163830944327
"206",10000,0.7,11,50,3.59135642051697,235.062507698664
"207",10000,0.7,13,50,3.76837196350098,232.154889175099
